Country,Producer,System Designation ,OperationalRole,SizeClass,Mission,EngineType,LaunchMethod,AnchorEndurance_h,AnchorPayload_kg,AnchorPayloadEnduranceProduct_kgh,MTOW_kg,MaxPayload_kg,Range_km,Wingspan_m,Length_m
Algeria,Centre de Recherche en Technologies Industrielles (CRTI ),Algeria 55,M,09-MALE,UCAV,P,CTOL,20.0,60.0,1200.0,1600.0,380.0,260.0,12.0,8.9
China (PR ),AVIC -Chengdu Aircraft Design &Research Institute (CADI ),Wing Loong I,M,09-MALE,ISR,p,CTOL,20.0,60.0,1200.0,1200.0,60.0,200.0,14.0,9.0
China (PR ),AVIC -Chengdu Aircraft Design &Research Institute (CADI ),Wing Loong I UCAV,M,09-MALE,UCAV,p,CTOL,8.0,160.0,1280.0,1200.0,160.0,200.0,14.0,9.0
China (PR ),AVIC -Chengdu Aircraft Design &Research Institute (CADI ),Wing Loong II,M,09-MALE,UCAV,Turboprop,CTOL,20.0,580.0,11600.0,4200.0,580.0,200.0,20.5,11.0
China (PR ),CASC -CAAA (see above ),CH -3B/Rainbow -3,M,11-UCAV,UCAV,p,CTOL,6.0,180.0,1080.0,650.0,180.0,200.0,8.0,5.2
China (PR ),CASC -CAAA (see above ),CH -3 A,M,05-MR,ISR,p,CTOL,12.0,60.0,720.0,650.0,60.0,200.0,8.0,5.2
China (PR ),CASC -CAAA (see above ),CH -4 ISR,M,09-MALE,ISR,p,CTOL,23.0,70.0,1610.0,1400.0,70.0,250.0,18.0,8.5
China (PR ),CASC -CAAA (see above ),CH -4 UCAV,M,09-MALE,UCAV,p,CTOL,10.0,270.0,2700.0,1400.0,270.0,250.0,18.0,8.5
China (PR ),CASC -CAAA (see above ),CH -5/Rainbow -5B UCAV,M,09-MALE,UCAV,p,CTOL,20.0,450.0,9000.0,2400.0,450.0,250.0,,
China (PR ),CASC -CAAA (see above ),CH -5/Rainbow -5A ISR,M,09-MALE,ISR,p,CTOL,30.0,115.0,3450.0,2250.0,115.0,250.0,,
China (PR ),CASC -CAAA (see above ),CH-5W UCAV,M,09-MALE,UCAV,Turboprop,CTOL,24.0,400.0,9600.0,5000.0,780.0,250.0,24.8,11.89
China (PR ),CASC -CAAA (see above ),CH-5W ISR,M,09-MALE,ISR,Turboprop,CTOL,30.0,70.0,2100.0,5000.0,780.0,250.0,24.8,11.89
China (PR ),CASIC (China Aerospace Science and Industry Corporation ),WJ -600 A,M,11-UCAV,ISR,turbojet,booster,2.5,130.0,325.0,1100.0,130.0,,5.8,6.5
China (PR ),CASIC (China Aerospace Science and Industry Corporation ),WJ -600 D,M,11-UCAV,ISR,turbofan,booster,3.5,130.0,455.0,1100.0,130.0,2100.0,5.8,6.5
China (PR ),CASIC (China Aerospace Science and Industry Corporation ),WJ -700B,M,11-UCAV,UCAV,turbofan,CTOL,8.0,480.0,3840.0,3500.0,480.0,3500.0,22.0,10.5
China (PR ),Shenzhen Koweitai Enterprise Development,KWT -GM -360-E,DP,03-CR,ISR,e,vtol,2.5,1.0,2.5,27.0,5.0,40.0,3.6,2.3
China (PR ),Shenzhen Koweitai Enterprise Development,KWT -GM -360-H,DP,04-SR,ISR,h,vtol,5.0,1.0,5.0,27.0,5.0,40.0,3.6,2.3
France,Safran Electronics & Defense,Patroller,DP,06-MRE,ISR,p,CTOL,20.0,100.0,2000.0,1000.0,100.0,200.0,18.0,8.5
France,Safran Electronics & Defense,Patroller ucav,M,06-MRE,UCAV,p,CTOL,15.0,250.0,3750.0,1000.0,250.0,200.0,18.0,8.5
France,Airbus,Eurodrone,M,09-MALE,UCAV,Turboprop,CTOL,30.0,2300.0,69000.0,11000.0,2300.0,,26.0,16.0
France,Fly -R (Aero Composites Innovations),R-600,M,05-MR,UCAV,h,CTOL,25.0,450.0,11250.0,1600.0,600.0,,6.1,5.9
Hong Kong,Aeroland UAV,AL-04,DP,02-Mini,ISR,e,hand,1.0,1.0,1.0,4.2,1.0,25.0,2.0,1.4
Hong Kong,Aeroland UAV,AL-20,DP,02-Mini,ISR,p,CTOL,20.0,1.5,30.0,20.0,1.5,100.0,4.0,0.7
Hong Kong,Aeroland UAV,AL-150,DP,03-CR,ISR,p,CTOL,16.0,10.0,160.0,150.0,40.0,100.0,8.0,3.5
Indonesia,BPPT (Agency for the Assessment and Application of Technology ),"BPPT 01A""Wulung """,M,04-SR,ISR,p,CTOL,6.0,3.0,18.0,125.0,35.0,130.0,6.34,4.42
Iran,Shahed Aviation Industries Research Center,Shahed-136,M,05-MR,LM,p,booster,10.0,40.0,400.0,200.0,40.0,2000.0,2.5,3.5
Iran,,Sammad-2,M,,LM,p,luncher,5.0,18.0,90.0,90.0,18.0,1000.0,4.5,2.8
Iran,,Sammad-3,M,,LM,p,Skid launch,5.0,40.0,200.0,120.0,40.0,1600.0,5.0,3.0
Italy,Leonardo,Falco,M,05-MR,ISR,p,CTOL,14.0,85.0,1190.0,520.0,85.0,200.0,7.2,5.25
Italy,Leonardo,Falco EVO,M,06-MRE,ISR,p,CTOL,20.0,100.0,2000.0,650.0,100.0,200.0,12.5,6.2
Latvia,"UAV Factory (acquired by AE Industrial Partners ,USA ,in 2021)",Penguin B,DP,06-MRE,ISR,p,p catapult,20.0,4.0,80.0,21.5,10.0,,3.3,2.27
Latvia,"UAV Factory (acquired by AE Industrial Partners ,USA ,in 2021)",Penguin BE,DP,02-Mini,ISR,e,p catapult,1.833,2.8,5.1324,21.5,6.6,,3.3,2.27
