Unnamed: 0,Country,Producer,System Designation ,SizeClass,Remarks ,OperationalRole,Airframe,TailConfig,WingForm,WingConfig,BodyConfig,EngineType,LaunchMethod,Mission,MaxSpeed_kmh,CruiseSpeed_kmh,Endurance_h,Range_km,ActualRange_km,MTOW_kg,PayloadEnduranceProduct_kgh,Payload_kg,AnchorPayload_kg,Ceiling_km,EngPower_hp,Wingspan_m,Length_m,Height_m,sources,Unnamed: 30,EnduranceFlag,PayloadFraction,PowerLoading_hp_per_kg,MissionTags,IsConfigVariant,PayloadEnduranceProduct_kgh_derived,HasAnchorPayload,SizeClassStd,DerivedRange_km,RangeKind,BestRange_km,StallSpeed_kmh,Airfoil,AspectRatio_NTNU,Chord_est_m_NTNU,PropDiameter_m,NTNU_ref
1042.0,USA,Amazon,Prime Air (prototype 2),Micro,"EL ,4x Dual rotor +1 pusher prop ",CC,FW/RW,,,,,,,,96.0,,,16.0,,,,2.0,,,,,,,,,normal,,,,False,,False,,,range_only_low_conf,16.0,,,,,,
1095.0,USA,Drone America,Ariel Scooper Drone ,MR,Fire -fighting RPAS ,CC,FW,,,,,,,,,,,,,,,3855.0,,,,,,,,,normal,,,,False,,False,,,none,,,,,,,
1196.0,USA,Naval Research Lab .,Stop -Rotor,CR,EL ,DV,FW/RW,,,,,,,,185.0,,0.5,,,,,,,,,,,,,,normal,,,,False,,False,,,derived_max_estimated,60.125,,,,,,
1320.0,France,Sagem,Sperwer A Mk II,,,,,,,,,,,,,166.7,6.0,200.0,,,,50.0,,4.572,,4.2,3.5,,,,normal,,,,False,,False,,,,200.0,,,,,,NTNU-new:Sperwer A Mk II
962.0,Ukraine,A.Drones,Pilum ,CR,"EL ,OFF ,CL or air launched by Grand Chimera ",M,FW,,,,,,AirLaunched,,100.0,,0.5,50.0,,,1.0,2.0,,,,,,,,,normal,,,,False,1.0,False,,,range_supports_ferry,50.0,,,,,,
203.0,China (PR ),OXAI Aircraft,Mozi 2,MRE,"EL ,Solar ",CC,FW,,,,,,,,,,12.0,,,,,,,,,,,,,,normal,,,,False,,False,,,none,,,,,,,
692.0,Russian Fed .,Sukhoi,Zond -3,MALE,,DP,FW,inv-V,T,M,WT,,CTOL,,250.0,,12.0,2500.0,2500.0,2000.0,6000.0,500.0,,,,,,,,,normal,0.25,,,False,6000.0,False,HALE,,actual,2500.0,,,,,,
500.0,Italy,CIRA,Castor ,STRA,space plane ,RA,FW,,,,,,,,1000.0,,,,,1319.0,,,,,,4.1,9.0,,,,normal,,,,False,,False,MALE,,none,,,,,,,
701.0,Russian Fed .,"Transas (Kronshtadt ,acquired by Sistema Group)",Dozor -600,MRE,,DP,FW,,,,,,,,150.0,,24.0,3700.0,3700.0,640.0,2760.0,115.0,,,,,,,,,normal,0.1796875,,,False,2760.0,False,MALE,,actual,3700.0,,,,,,
804.0,South Korea,Ucon Systems,OPV ,MR,OPA ,DP,FW,,,,,,,,220.0,,24.0,100.0,,600.0,,,,,,,,,,,normal,,,,False,,False,MALE,,derived_max_datalink_likely,3432.0,,,,,,
211.0,China (PR ),Smart Max Geosystems (aiframe :Nomex Honeycomb /EPO ),SMG -VEZ ,Micro,EL ,CC,FW,,,,,,,,,,1.66,9.0,,4.0,,,,,,,,,,,normal,,,,False,,False,Mini,,range_only_low_conf,9.0,,,,,,
351.0,Hungary,Amores Robotics,Observer,Mini,EL ,DP,FW,,,,,,,,110.0,,1.5,75.0,,10.0,,,,,,,,,,,normal,,,,False,,False,Mini,,derived_max_or_range,107.25,,,,,,
1185.0,USA,MicroUAV (ex Brandebury Tool Company ),Scythe ,CR,,M,FW,,,,,,,,230.0,,6.0,,,7.7,16.2,2.7,,,,,,,,,normal,0.3506493506493507,,,False,16.2,False,Mini,,derived_max_estimated,897.0,,,,,,
218.0,China (PR ),Volitation (ex Volition Innovations ),Falco ,Mini,EL ,DP,FW,,,,,,,,140.0,,2.0,10.0,,6.0,170.0,0.9,85.0,,,,,,,,normal,0.15,,,False,1.8,True,Mini,,derived_max_datalink_likely,182.0,,,,,,
201.0,China (PR ),NRIST,W-30,CR,,M,FW,,,,,,,,150.0,,4.0,10.0,,18.0,20.0,5.0,,,,,,,,,normal,0.2777777777777778,,,False,20.0,False,Mini,,derived_max_datalink_likely,390.0,,,,,,
615.0,Poland,ITWL (Air Force Institute of Technology ),Bat -3L (Nietoperz -3L),Mini,,DP,FW,,,,,,,,100.0,,1.5,15.0,,6.5,,,,,,,,,,,normal,,,,False,,False,Mini,,derived_max_datalink_likely,97.5,,,,,,
938.0,UK,Fanwing,STOL UAV ,Mini,Fanwing ,DV,FW,,,,,,,,29.0,,,,,12.0,,2.0,,,,,,,,,normal,0.1666666666666667,,,False,,False,Mini,,none,,,,,,,
350.0,Hungary,Amores Robotics,LandScope ,Micro,"EL ,Flying wing ",DP,FW,,,,,,,,60.0,,1.5,50.0,,3.5,,,,,,,,,,,normal,,,,False,,False,Mini,,derived_max_or_range,58.5,,,,,,
214.0,China (PR ),Toaero (see above ),TS-28,Mini,"EL ,VTOL ",DP,FW/RW,,,,,,,,110.0,,1.5,,,18.0,3.0,2.0,,,,,,,,,normal,0.1111111111111111,,,False,3.0,False,Mini,,derived_max_estimated,107.25,,,,,,
825.0,Spain,Expal,Shepherd -Mil ,Micro,(2.4GHz/14GHz/900MHz),M,FW,,,,,,,,50.0,,1.0,100.0,,2.8,,,,,,,,,,,normal,,,,False,,False,Mini,,range_supports_ferry,100.0,,,,,,
1190.0,USA,MIT Lincoln Laboratory,Perdix ,Micro,"EL ,Swarm behavior ,3D-printed ",M,FW,,,,,,,,113.0,,0.333,,,0.29,,,,,,,,,,,normal,,,,False,,False,Nano/Micro,,derived_max_estimated,24.45885,,,,,,
1049.0,USA,Applied Research Associates &Irvine Sensors,Towhawk ,Micro,Tube /hand launch ,M,FW,,,,,,Tube,,55.0,,1.17,10.0,,0.95,0.3159,0.27,,,,,,,,,normal,0.2842105263157895,,,False,0.3159,False,Nano/Micro,,derived_max_datalink_likely,41.8275,,,,,,
378.0,Indonesia,Globalindo Technology Services Indonesia,PUNA Kujang ,Mini,,DP,FW,,,,,,,,100.0,,2.5,,,25.0,17.5,7.0,,,,,,,,,normal,0.28,,,False,17.5,False,Small,,derived_max_estimated,162.5,,,,,,
286.0,France,Skydrone,Orca ,Mini,"Combustion +EL ,Cargo ",CC,FW/RW,,,,,,,,120.0,,6.0,50.0,,24.0,18.0,3.0,,,,,,,,,normal,0.125,,,False,18.0,False,Small,,derived_max_datalink_likely,468.0,,,,,,
83.0,China (PR ),AEE Technology (Shenzhen AEE Technology ),G30 ,SR,Hybrid Petrol /EL ,DP,FW/RW,,,,,,,,100.0,,4.0,35.0,,29.5,18.0,4.5,,,,,,,,,normal,0.1525423728813559,,,False,18.0,False,Small,,derived_max_datalink_likely,260.0,,,,,,
699.0,Russian Fed .,"Transas (Kronshtadt ,acquired by Sistema Group)",Dozor -85,SR,,DP,FW,,,,,,,,150.0,,8.0,900.0,900.0,85.0,100.0,12.5,,,,,,,,,normal,0.1470588235294118,,,False,100.0,False,Small,,actual,900.0,,,,,,
1004.0,USA,Accurate Automation,GLOV ,Mini,,DV,FW,,,,,,,,144.0,,,,,22.68,,,,,,,,,,,normal,,,,False,,False,Small,,none,,,,,,,
698.0,Russian Fed .,"Transas (Kronshtadt ,acquired by Sistema Group)",Dozor -50,SR,,DP,FW,,,,,,,,130.0,,6.0,600.0,600.0,50.0,48.0,8.0,,,,,,,,,normal,0.16,,,False,48.0,False,Small,,actual,600.0,,,,,,
259.0,France,Boreal (ex AJS ),Boreal ,Mini,"Petrol ,Bungee -Lnchd ",CC,FW,,,,,,,,180.0,,10.0,,,25.0,50.0,5.0,,,,,,,,,normal,0.2,,,False,50.0,False,Small,,derived_max_estimated,1170.0,,,,,,
99.0,China (PR ),Beijing Sagetown Technologies,CL -3,CR,Petrol /EL Hybrid ,DP,FW/RW,,,,,,,,120.0,,4.0,,,45.0,40.0,10.0,,,,,,,,,normal,0.2222222222222222,,,False,40.0,False,Small,,derived_max_estimated,312.0,,,,,,
213.0,China (PR ),Toaero (see above ),H20,Mini,EL ,DP,FW,,,,,,,,90.0,,1.5,,,25.0,7.5,5.0,,,,,,,,,normal,0.2,,,False,7.5,False,Small,,derived_max_estimated,87.75,,,,,,
103.0,China (PR ),Beijing Sagetown Technologies,CL-8,Mini," Hybrid power, VTOL",DP,FW/RW,,,,,,,,100.0,85.0,2.0,150.0,160.0,20.0,6.0,3.0,,,,3.2,1.7,,,,normal,0.15,,,True,6.0,False,Small,170.0,actual,160.0,,,,,,
215.0,China (PR ),Toacro (see above ),ZX -D03 ,Mini,Hybride Petrol /EL ,DP,FW/RW,,,,,,,,115.0,,1.5,,,26.0,4.5,3.0,,,,,,,,,normal,0.1153846153846154,,,False,4.5,False,Small,,derived_max_estimated,112.125,,,,,,
1194.0,USA,NASA Dryden Flight Research Center,DROID ,Mini,,RA,FW,,,,,,,,160.0,,1.0,,,36.0,9.0,9.0,,,,,,,,,normal,0.25,,,False,9.0,False,Small,,derived_max_estimated,104.0,,,,,,
858.0,Taiwan ROC,Nat Chung -Shan Inst of Science &Tech (NCSIST ),Kestrel II,MR,,M,FW,,,,,,,,185.0,,8.0,100.0,,120.0,216.0,27.0,,,,,,,,,normal,0.225,,,False,216.0,False,Small,,derived_max_datalink_likely,962.0,,,,,,
195.0,China (PR ),Nanjing Tianyi (Sky One),TY -HC30 ,Mini,,DP,FW,,,,,,,,140.0,,2.5,50.0,,28.0,12.5,5.0,,,,,,,,,normal,0.1785714285714286,,,False,12.5,False,Small,,derived_max_datalink_likely,227.5,,,,,,
